date,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00
2018-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,1117.0,2539.0,2613.0,2613.0,2631.0,2631.0,2631.0,3156.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4094.0,4879.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0,5407.0
2018-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1131.0,1237.0,3062.0,3995.0,4009.0,4009.0,4009.0,4009.0,4009.0,4443.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5057.0,5722.0,6149.0,6149.0,6149.0,6178.0,6186.0,6197.0,6226.0,6250.0,6250.0,6276.0,6292.0,6292.0,6292.0,6292.0,6332.0,6332.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0,6354.0
2018-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069.0,1087.0,1087.0,1087.0,1087.0,1087.0,1087.0,1095.0,1099.0,1099.0,1099.0,1099.0,1099.0,1304.0,2108.0,2108.0,2108.0,2119.0,2128.0,3018.0,3347.0,3347.0,3347.0,3347.0,3347.0,3347.0,3347.0,3370.0,3370.0,3370.0,3370.0,3531.0,3531.0,4283.0,4709.0,5886.0,6261.0,6261.0,6276.0,6285.0,6285.0,6287.0,6333.0,6349.0,6349.0,6349.0,6349.0,6349.0,6349.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0,6374.0
2018-04-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,23.0,1202.0,1202.0,1202.0,1202.0,1202.0,1202.0,2232.0,3554.0,3581.0,3636.0,3636.0,3758.0,3882.0,4142.0,4356.0,4619.0,4959.0,5580.0,6022.0,6519.0,6873.0,7045.0,7180.0,7180.0,7661.0,7708.0,7708.0,7708.0,7708.0,7708.0,8694.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8700.0,8811.0,9961.0,9961.0,9961.0,9961.0,9961.0,9961.0,9961.0,9961.0,9963.0,10802.0,10802.0,11671.0,11714.0,12151.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0,12831.0
2018-04-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,1200.0,1200.0,1200.0,1200.0,1200.0,1340.0,1340.0,1394.0,1394.0,1394.0,1490.0,2575.0,2575.0,2603.0,2603.0,2603.0,3586.0,3586.0,3586.0,3586.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3640.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,3732.0,4006.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5081.0,5096.0,5105.0,5105.0,5105.0,5105.0,5105.0,5105.0,5105.0,5105.0,5105.0,5105.0,5105.0
2018-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,589.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1394.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,1431.0,2368.0,3485.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3747.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0,3785.0
2018-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,45.0,1032.0,1191.0,1191.0,1191.0,1191.0,1191.0,1191.0,1191.0,1207.0,1207.0,1207.0,1207.0,1558.0,1798.0,1868.0,2148.0,2148.0,2148.0,2148.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2156.0,2419.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0,2717.0
2018-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0,802.0,802.0,802.0,1172.0,1930.0,1930.0,1930.0,1930.0,2558.0,2961.0,2961.0,2961.0,2961.0,2961.0,2961.0,4131.0,4155.0,4155.0,4155.0,4155.0,4155.0,4155.0,4155.0,5224.0,5304.0,5304.0,5304.0,5668.0,6502.0,6544.0,6544.0,6544.0,6553.0,6553.0,6553.0,6553.0,6634.0,6634.0,6712.0,8103.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8171.0,8207.0,8207.0,8215.0,8215.0,8215.0,8215.0,8221.0,8221.0,8221.0,8221.0,8221.0,8221.0
2018-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1087.0,1107.0,1107.0,1174.0,1316.0,1316.0,1433.0,1433.0,1502.0,1502.0,1502.0,1502.0,1502.0,1502.0,1502.0,1502.0,1502.0,1502.0,2420.0,2660.0,2660.0,2731.0,3285.0,4212.0,4212.0,4212.0,4212.0,4212.0,4212.0,4271.0,4271.0,4271.0,4271.0,4271.0,4271.0,4271.0,4271.0,4279.0,4279.0,4279.0,4366.0,4569.0,4660.0,4660.0,4669.0,4669.0,4669.0,4682.0,4682.0,4682.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4702.0,4727.0,4727.0,4727.0,4727.0
2018-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,1126.0,1660.0,2800.0,3283.0,3914.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3946.0,3956.0,3956.0,3956.0,3956.0,3973.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0,3984.0
